value,description
CW001,Do not resterilize
CW006,Defibrillation-proof type B applied part
CW007,Do not use if package is damaged
CW008,Biological risks
CW009,Do not re-use
CW010,Consult instructions for use
CW011,Caution
CW012,"Caution: Electrostatic sensitive, do not touch directly."
CW013,Radiation of laser apparatus
CW014,Type BF applied part
CW015,Defibrillation-proof type BF applied part
CW016,Type B applied part
CW017,Defibrillation-proof type CF applied part
CW018,Refer to instruction manual/booklet
CW020,Do not sterilize
CW022,Do not cut
CW023,Consider hazards from magnetic fields
CW024,Do not store near magnets or magnetic devices
CW025,MR SAFE
CW026,MR CONDITIONAL
CW027,MR UNSAFE
CW028,Exposure to radiation when using the device
CW029,"Caution, sharp edges"
CW030,Consult healthcare professional before use
CW031,Implant timeframe limitations
CW032,Do not use past indicated date
CW035,"Restriction in use of des infectors,"
CW036,Restrictions in use for combination of other devices
CW037,"GHS01 - Danger - Unstable, Explosive"
CW038,GHS02 - Danger or Warning - Flammable
CW039,GHS03- Danger or Warning -Oxidising
CW040,GHS04- Warning -Compressed gas
CW041,GHS05 -Danger or Warning -Corrosive cat. 1
CW042,GHS06 - Danger -Toxic cat. 1 - 3
CW043,"GHS07 - Warning -Toxic cat. 4, Irritant cat. 2 or 3, Lower systemic health hazards"
CW044,GHS08 - Danger or Warning - Systemic health hazards
CW045,GHS09 - Warning (for cat. 1)- (for cat. 2 no signal word) Environment
CW046,H200 - Unstable explosives.
CW047,H201 - Explosive; mass explosion hazard.
CW048,"H202 - Explosive, severe projection hazard."
CW049,"H203 - Explosive; fire, blast or projection hazard."
CW050,H204 - Fire or projection hazard.
CW051,H205 - May mass explode in fire.
CW052,H220 - Extremely flammable gas.
CW053,H221 - Flammable gas.
CW054,H222 - Extremely flammable aerosol.
CW055,H223 - Flammable aerosol.
CW056,H224 - Extremely flammable liquid and vapour.
CW057,H225 - Highly flammable liquid and vapour.
CW058,H226 - Flammable liquid and vapour.
CW059,H228 - Flammable solid.
CW060,H240 - Heating may cause an explosion.
CW061,H241 - Heating may cause a fire or explosion.
CW062,H242 - Heating may cause a fire.
CW063,H250 - Catches fire spontaneously if exposed to air.
CW064,H251 - Self-heating: may catch fire.
CW065,H252 - Self-heating in large quantities; may catch fire.
CW066,H260 - In contact with water releases flammable gases which may ignite spontaneously.
CW067,H261 - In contact with water releases flammable gases.
CW068,H270 - May cause or intensify fire; oxidiser.
CW069,H271 - May cause fire or explosion; strong oxidiser.
CW070,H272 - May intensify fire; oxidiser.
CW071,H280 - Contains gas under pressure; may explode if heated.
CW072,H281 - Contains refrigerated gas; may cause cryogenic burns or injury.
CW073,H290 - May be corrosive to metals.
CW074,H300 - Fatal if swallowed.
CW075,H301 - Toxic if swallowed.
CW076,H302 - Harmful if swallowed.
CW077,H304 - May be fatal if swallowed and enters airways.
CW078,H310 - Fatal in contact with skin.
CW079,H311 - Toxic in contact with skin.
CW080,H312 - Harmful in contact with skin.
CW081,H314 - Causes severe skin burns and eye damage.
CW082,H315 - Causes skin irritation.
CW083,H317 - May cause an allergic skin reaction.
CW084,H318 - Causes serious eye damage.
CW085,H319 - Causes serious eye irritation.
CW086,H330 - Fatal if inhaled.
CW087,H331 - Toxic if inhaled.
CW088,H332 - Harmful if inhaled.
CW089,H334 - May cause allergy or asthma symptoms or breathing difficulties if inhaled.
CW090,H335 - May cause respiratory irritation.
CW091,H336 - May cause drowsiness or dizziness.
CW092,H340 - May cause genetic defects exposure cause the hazard>.
CW093,H341 - Suspected of causing genetic defects.
CW094,H350 - May cause cancer.
CW095,H351 - Suspected of causing cancer.
CW096,H360 - May damage fertility or the unborn child.
CW097,H361 - Suspected of damaging fertility or the unborn child.
